No. of LEDs    Prefix
--------------------------------
1              41 64 61 00 00 55
2              41 64 61 00 01 54
3              41 64 61 00 02 57
4              41 64 61 00 03 56
5              41 64 61 00 04 51
6              41 64 61 00 05 50
7              41 64 61 00 06 53
8              41 64 61 00 07 52
9              41 64 61 00 08 5d
10             41 64 61 00 09 5c
11             41 64 61 00 0a 5f
12             41 64 61 00 0b 5e
13             41 64 61 00 0c 59
14             41 64 61 00 0d 58
15             41 64 61 00 0e 5b
16             41 64 61 00 0f 5a
17             41 64 61 00 10 45
18             41 64 61 00 11 44
19             41 64 61 00 12 47
20             41 64 61 00 13 46
21             41 64 61 00 14 41
22             41 64 61 00 15 40
23             41 64 61 00 16 43
24             41 64 61 00 17 42
25             41 64 61 00 18 4d
26             41 64 61 00 19 4c
27             41 64 61 00 1a 4f
28             41 64 61 00 1b 4e
29             41 64 61 00 1c 49
30             41 64 61 00 1d 48
31             41 64 61 00 1e 4b
32             41 64 61 00 1f 4a
33             41 64 61 00 20 75
34             41 64 61 00 21 74
35             41 64 61 00 22 77
36             41 64 61 00 23 76
37             41 64 61 00 24 71
38             41 64 61 00 25 70
39             41 64 61 00 26 73
40             41 64 61 00 27 72
41             41 64 61 00 28 7d
42             41 64 61 00 29 7c
43             41 64 61 00 2a 7f
44             41 64 61 00 2b 7e
45             41 64 61 00 2c 79
46             41 64 61 00 2d 78
47             41 64 61 00 2e 7b
48             41 64 61 00 2f 7a
49             41 64 61 00 30 65
50             41 64 61 00 31 64
51             41 64 61 00 32 67
52             41 64 61 00 33 66
53             41 64 61 00 34 61
54             41 64 61 00 35 60
55             41 64 61 00 36 63
56             41 64 61 00 37 62
57             41 64 61 00 38 6d
58             41 64 61 00 39 6c
59             41 64 61 00 3a 6f
60             41 64 61 00 3b 6e
61             41 64 61 00 3c 69
62             41 64 61 00 3d 68
63             41 64 61 00 3e 6b
64             41 64 61 00 3f 6a
65             41 64 61 00 40 15
66             41 64 61 00 41 14
67             41 64 61 00 42 17
68             41 64 61 00 43 16
69             41 64 61 00 44 11
70             41 64 61 00 45 10
71             41 64 61 00 46 13
72             41 64 61 00 47 12
73             41 64 61 00 48 1d
74             41 64 61 00 49 1c
75             41 64 61 00 4a 1f
76             41 64 61 00 4b 1e
77             41 64 61 00 4c 19
78             41 64 61 00 4d 18
79             41 64 61 00 4e 1b
80             41 64 61 00 4f 1a
81             41 64 61 00 50 05
82             41 64 61 00 51 04
83             41 64 61 00 52 07
84             41 64 61 00 53 06
85             41 64 61 00 54 01
86             41 64 61 00 55 00
87             41 64 61 00 56 03
88             41 64 61 00 57 02
89             41 64 61 00 58 0d
90             41 64 61 00 59 0c
91             41 64 61 00 5a 0f
92             41 64 61 00 5b 0e
93             41 64 61 00 5c 09
94             41 64 61 00 5d 08
95             41 64 61 00 5e 0b
96             41 64 61 00 5f 0a
97             41 64 61 00 60 35
98             41 64 61 00 61 34
99             41 64 61 00 62 37
100            41 64 61 00 63 36
101            41 64 61 00 64 31
102            41 64 61 00 65 30
103            41 64 61 00 66 33
104            41 64 61 00 67 32
105            41 64 61 00 68 3d
106            41 64 61 00 69 3c
107            41 64 61 00 6a 3f
108            41 64 61 00 6b 3e
109            41 64 61 00 6c 39
110            41 64 61 00 6d 38
111            41 64 61 00 6e 3b
112            41 64 61 00 6f 3a
113            41 64 61 00 70 25
114            41 64 61 00 71 24
115            41 64 61 00 72 27
